,路線名,駅名,設置年月
333,大阪市高速電気軌道今里筋線,井高野,2006/12/01 00:00
334,大阪市高速電気軌道今里筋線,だいどう豊里,2006/12/01 00:00
335,東京地下鉄丸ノ内線,茗荷谷,2007/02/01 00:00
336,東京地下鉄丸ノ内線,四谷三丁目,2007/02/01 00:00
337,東京地下鉄丸ノ内線,後楽園,2007/03/01 00:00
338,横浜市交通局3号線,三ツ沢上町,2007/04/01 00:00
339,横浜市交通局3号線,新横浜,2007/04/01 00:00
340,横浜市交通局3号線,新羽,2007/04/01 00:00
341,横浜市交通局3号線,北新横浜,2007/04/01 00:00
342,横浜市交通局3号線,片倉町,2007/04/01 00:00
343,横浜市交通局3号線,仲町台,2007/04/01 00:00
344,横浜市交通局3号線,岸根公園,2007/04/01 00:00
345,横浜市交通局3号線,センター北,2007/04/01 00:00
346,横浜市交通局3号線,中川,2007/04/01 00:00
347,横浜市交通局3号線,あざみ野,2007/04/01 00:00
348,横浜市交通局3号線,三ツ沢下町,2007/04/01 00:00
349,東京地下鉄丸ノ内線,本郷三丁目,2007/04/01 00:00
350,横浜市交通局3号線,センター南,2007/04/01 00:00
351,横浜市交通局3号線,横浜,2007/04/01 00:00
352,東京地下鉄丸ノ内線,四ツ谷,2007/05/01 00:00
353,横浜市交通局3号線,関内,2007/05/01 00:00
354,横浜市交通局3号線,桜木町,2007/05/01 00:00
355,横浜市交通局1号線,伊勢佐木長者町,2007/05/01 00:00
356,横浜市交通局3号線,高島町,2007/05/01 00:00
357,東京地下鉄丸ノ内線,御茶ノ水,2007/06/01 00:00
358,横浜市交通局1号線,阪東橋,2007/06/01 00:00
359,横浜市交通局1号線,吉野町,2007/06/01 00:00
360,横浜市交通局1号線,蒔田,2007/06/01 00:00
361,横浜市交通局1号線,弘明寺,2007/06/01 00:00
362,東京地下鉄丸ノ内線,赤坂見附,2007/06/01 00:00
363,東京地下鉄丸ノ内線,淡路町,2007/07/01 00:00
364,横浜市交通局1号線,上大岡,2007/07/01 00:00
365,横浜市交通局1号線,港南中央,2007/07/01 00:00
366,横浜市交通局1号線,上永谷,2007/07/01 00:00
367,東京地下鉄丸ノ内線,大手町,2007/07/01 00:00
368,東京地下鉄丸ノ内線,国会議事堂前,2007/07/01 00:00
