駅数,事業者名,路線名,駅名,所在地,ホームの形状,設置ホーム（番線）,ホームドアの種別,設置年月,備考,,当該路線の設置状況
3,京王電鉄,京王線,調布,東京都調布市,島式二層2面4線,1・2・3・4番線,可動式ホーム柵,2012/09/01 00:00,○,京王相模原線と共用、上下線別の二層構造,
4,京王電鉄,京王線,新宿,東京都新宿区,くし型3面3線,1・2・3番線,可動式ホーム柵,2013/03/01 00:00,○,1番線はH25.10、2番線はH26.3に供用開始,
4,京王電鉄,京王新線,新宿,東京都新宿区,島式1面2線,4・5番線,可動式ホーム柵,2018/11/01 00:00,○,4番線はH30.11、5番線はH31.2に供用開始,
5,京王電鉄,京王線,飛田給,東京都調布市,相対・島式2面3線,2・3番線,可動式ホーム柵,2019/03/01 00:00,,3番線はR1.8、1番線はR2.5供用開始,
6,京王電鉄,井の頭線,吉祥寺,東京都武蔵野市,相対式2面2線,1・2番線,可動式ホーム柵,2015/12/01 00:00,○,,△一部の駅
7,京王電鉄,井の頭線,渋谷,東京都渋谷区,くし型2面2線,1・2番線,可動式ホーム柵,2018/12/01 00:00,○,,
1,小田急電鉄,小田原線,新宿,東京都新宿区,くし形7面5線,地上4・5番線のみ,可動式ホーム柵,2012/09/01 00:00,○,,△一部の駅
2,小田急電鉄,小田原線,代々木八幡,東京都渋谷区,島式1面2線,1・2番線,可動式ホーム柵,2019/03/01 00:00,,,
3,小田急電鉄,小田原線,代々木上原,東京都渋谷区,島式2面4線,1・4番線,可動式ホーム柵,2020/03/01 00:00,○,,
4,小田急電鉄,小田原線,東北沢,東京都世田谷区,島式1面2線,1・2番線,可動式ホーム柵,2019/06/01 00:00,,,
5,小田急電鉄,小田原線,下北沢,東京都世田谷区,島式1面2線2層,3・4番線（地下1階）,可動式ホーム柵,2019/03/01 00:00,○,,
6,小田急電鉄,小田原線,世田谷代田,東京都世田谷区,島式1面2線,1・2番線,可動式ホーム柵,2019/09/01 00:00,,,
7,小田急電鉄,小田原線,梅ヶ丘,東京都世田谷区,相対式2面2線,1・2番線,可動式ホーム柵,2019/12/01 00:00,,,
1,東急電鉄,目黒線,目黒,東京都品川区,島式1面2線,1・2番線,可動式ホーム柵,2000/08/01 00:00,○,東京メトロ南北線、都営三田線と共用,◎全駅
2,東急電鉄,目黒線,不動前,東京都品川区,相対式2面2線,1・2番線,可動式ホーム柵,2002/09/01 00:00,,,
3,東急電鉄,目黒線,武蔵小山,東京都品川区,島式2面4線,1・2・3・4番線,可動式ホーム柵,2001/06/01 00:00,,,
4,東急電鉄,目黒線,西小山,東京都品川区,島式1面2線,1・2番線,可動式ホーム柵,2001/07/01 00:00,,,
5,東急電鉄,目黒線,洗足,東京都目黒区,相対式2面2線,1・2番線,可動式ホーム柵,2000/08/01 00:00,,,
6,東急電鉄,目黒線,大岡山,東京都大田区,島式2面4線,1・4番線のみ,可動式ホーム柵,2000/08/01 00:00,,,
7,東急電鉄,目黒線,奥沢,東京都世田谷区,単式1面1線・島式1面2線,1・2・3番線,可動式ホーム柵,2000/08/01 00:00,,,
8,東急電鉄,目黒線,田園調布,東京都大田区,島式2面4線,2・3番線のみ,可動式ホーム柵,2000/08/01 00:00,,,
9,東急電鉄,目黒線,多摩川,東京都大田区,島式2面4線,2・3番線のみ,可動式ホーム柵,2000/08/01 00:00,,,
