,駅数,事業者名,路線名,駅名,所在地,ホームの形状,設置ホーム（番線）,ホームドアの種別,設置年月,備考,Unnamed: 10,当該路線の設置状況,path
77,3.0,JR東海,東海道新幹線,新横浜,神奈川県横浜市港北区,島式2面4線,1・2・3・4番線,可動式ホーム柵,1985/01/01 00:00,,1番線はH30.3、4番線はH28.3に供用開始,,/home/zaiying/A-Pastani/data/JR東海/東海旅客鉄道東海道新幹線_addRailname.geojson
78,4.0,JR東海,東海道新幹線,熱海,静岡県熱海市,相対式2面2線,6・7番線,可動式ホーム柵,1974/01/01 00:00,,,,/home/zaiying/A-Pastani/data/JR東海/東海旅客鉄道東海道新幹線_addRailname.geojson
79,5.0,JR東海,東海道新幹線,名古屋,愛知県愛知県名古屋市中村区,島式2面4線,14～17番線,可動式ホーム柵,2014/03/01 00:00,○,,,/home/zaiying/A-Pastani/data/JR東海/東海旅客鉄道東海道新幹線_addRailname.geojson
80,6.0,JR東海,東海道新幹線,京都,京都府京都市下京区,島式2面4線,11～14番線,可動式ホーム柵,2015/01/01 00:00,,,,/home/zaiying/A-Pastani/data/JR東海/東海旅客鉄道東海道新幹線_addRailname.geojson
81,7.0,JR東海,東海道新幹線,新大阪,大阪府大阪市淀川区,単式2面2線・島式3面6線,26・27番線,可動式ホーム柵,2013/03/01 00:00,○,20～25番線は未設置（固定柵設置）,,/home/zaiying/A-Pastani/data/JR東海/東海旅客鉄道東海道新幹線_addRailname.geojson
82,1.0,JR西日本,北陸新幹線,糸魚川,新潟県糸魚川市,相対式2面2線,11・12番線,可動式ホーム柵,2015/03/01 00:00,,在来線ホームは未設置,◎全駅,/home/zaiying/A-Pastani/data/JR西日本/西日本旅客鉄道北陸新幹線_addRailname.geojson
83,2.0,JR西日本,北陸新幹線,黒部宇奈月温泉,富山県黒部市,相対式2面2線,1・2番線,可動式ホーム柵,2015/03/01 00:00,,,,/home/zaiying/A-Pastani/data/JR西日本/西日本旅客鉄道北陸新幹線_addRailname.geojson
84,3.0,JR西日本,北陸新幹線,富山,富山県富山市,島式2面4線,11・12・13・14番線,可動式ホーム柵,2015/03/01 00:00,,在来線ホームは未設置,,/home/zaiying/A-Pastani/data/JR西日本/西日本旅客鉄道北陸新幹線_addRailname.geojson
85,4.0,JR西日本,北陸新幹線,新高岡,富山県高岡市,相対式2面2線,1・2番線,可動式ホーム柵,2015/03/01 00:00,,在来線ホームは未設置,,/home/zaiying/A-Pastani/data/JR西日本/西日本旅客鉄道北陸新幹線_addRailname.geojson
86,5.0,JR西日本,北陸新幹線,金沢,石川県金沢市,島式2面4線,11・12・13・14番線,可動式ホーム柵,2015/03/01 00:00,,在来線ホームは未設置,,/home/zaiying/A-Pastani/data/JR西日本/西日本旅客鉄道北陸新幹線_addRailname.geojson
87,6.0,JR西日本,山陽新幹線,新神戸,兵庫県神戸市中央区,相対式2面2線,1・2番線,可動式ホーム柵,1977/12/01 00:00,,,△一部の駅,/home/zaiying/A-Pastani/data/JR西日本/西日本旅客鉄道山陽新幹線_addRailname.geojson
88,7.0,JR西日本,山陽新幹線,岡山,岡山県岡山市,島式2面4線,22番線,可動式ホーム柵,2019/12/01 00:00,○,21・23・24番線は未設置、在来線ホームは未設置,,/home/zaiying/A-Pastani/data/JR西日本/西日本旅客鉄道山陽新幹線_addRailname.geojson
89,8.0,JR西日本,ＪＲ東西線,北新地,大阪府大阪市,島式1面2線,1・2番線,可動式ホーム柵,2011/03/01 00:00,○,,△一部の駅,/home/zaiying/A-Pastani/data/JR西日本/西日本旅客鉄道JR東西線_addRailname.geojson
